FeatureID	Kingdom	Phylum	Class	Order	Family	Genus
94df9b02e76756fbc191b370c5f38b3d	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
9534819acabc8374c3fb763813b38f9c	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
957db2bdfa2c308783047cf63cd44c78	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	
9583751e84ae4271cf4a7dc8292ff2ae	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	
95e9065bed63e7a483529c3e3bf46bd4	Bacteria	Firmicutes	Clostridia	Clostridiales		
968f2c40a8f856382ad84464ea5e054a	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Paludibacter
969fd69ccf83f67bb9cab84236c311d4	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
96bd9f8292feeb29d3d10932b9e2470d	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
96d80fd02b5380cb26223b2e3a3469a6	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Phycicoccus
96f0d02afde7749cedddbf84180ad895	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
975976414de4c6d1de9bf027fd39d15e	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
979dfd8bbeaec7ec97cb81e892c01d90	Bacteria	Firmicutes	Clostridia	Clostridiales	[Mogibacteriaceae]	
9811fdc783a572fa957aee64f7245fbc	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
997e23e4a8ecf792d10bf0dc92fdb022	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	
99c74fec14b7ba8394c6bafdc6867062	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
99d9152522519fcfc3add952fcbb1bac	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas
99e238701950ab0fa7fd0281f7fbf6e0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
9a1a997e58a092579f530cea00eedad8	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc
9a4be30caf54c980edf5aeaeaa80582e	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	rc4-4
9a51009b55aca2f468f71e938eccd22e	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
9ad35f52194c72edfbc48d5a3ac260db	Bacteria	Firmicutes	Clostridia	Clostridiales	[Mogibacteriaceae]	Mogibacterium
9b2efbe20ea11e0a538c485639e8e159	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
9ba07d9ed3a050e4b2846dd19ef8b42a	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
9bf24d22d0dece9e6ee0c97b0316fa2b	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Balneimonas
9c4af2956bad2f6e6310129afbecedff	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
9c67567e42e5317addcefb0188ed606a	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinivibrio
9cb1c1acd10340292e9b85f303828aad	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Jeotgalicoccus
9cf75393f70d104739b23ed20f77176b	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	
9d99d3e4ac39fcf063bbe64accb15ba9	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
9deb1ad6fe920b80ea2d7a61891245c7	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
9dfa62192cc87c149102a79bb82787ae	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
9e51c54c8c98a6e48c2f653d2ebc8624	Bacteria	Firmicutes	Clostridia	Clostridiales		
9eb2f7382a9640d759ce57d0d4a5f1f5	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
9ec917b373239d22858c5d2fb25f1807	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenella
9eeb37ab369d9f263c08e59d48c20920	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
9f2d7bb1b47e5d157f8a2a14d7d06733	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dermabacteraceae	Dermabacter
9feabd5bc13642ff56f1c41abe663026	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus
a01a05c2b06597e55fabb81065c8a3c4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	
a02faa53a211d84b5859696ff5d26cca	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
a05921f35757a50e18d72cac7dea3b7f	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	
a06d54bc5c2ca9ab4323c89826ec43be	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Macrococcus
a06ee12646ad5b573af845e7b0075f25	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
a1422cba0e486d6a8cad4075b90e1f70	Bacteria					
a14e6f03a30da104d7d70192c89f7b19	Bacteria	Chloroflexi	Ellin6529			
a17e9eb9b8d11ff4294327f24b5a8fc9	Bacteria	Cyanobacteria	Chloroplast	Streptophyta		
a2ac4bc639dec714be1f0c3984e56d88	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	RF16	
a2e74a08f1aa6d1012b2bace53371b00	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Hymenobacter
a2e7b1a61e7a3227262c8a207aaaa4ef	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	SMB53
a2ed6425d48891167336a8423b921c1f	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
a388818c9a7237eec2ce93fe26f7933a	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
a399edb98e0b3f8bab51a2b724aee5ad	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
a3a0336d11429cc7b51b3f8bb3a638ae	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	
a3c0a92339e2c277a9f4551cb37ec8dd	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas
a3e9cb31464e024ddfd143e5b1ba8da6	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	
a3f797a62a69357c37dea2e2728c67a6	Bacteria	Tenericutes	Mollicutes	RF39		
a419a627a605abdfe8d28d638ac36176	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
a4b822b83d6d7f4bd3574e71cf39b626	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Balneimonas
a4d46f5eccf1622f024a331027596b9b	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
a50a7fbd6f8dce91b45774015959554f	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium
a5184e761f4592356041811963068310	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Yaniellaceae	Yaniella
a56cf57f3c470059de22018dc272db1a	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Bulleidia
a5b6a2e45ceb2f89175ec0b05558b672	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	
a60797c877851643df74067e7cd1534b	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella
a613dbcb3bef05d80c9c7f8d943c7e67	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylotenera
a61bb9c836edf24bd49589dc3deb9e9a	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales		
a635a194eeac35f84e5b0c6ed58289d9	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	
a66a210e8db0748e53e3572aef35b273	Bacteria					
a69ed51013003f378e37e8b416173f5d	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella
a6b91be4757b403cc77ca43edd0df40c	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium
a6e83997a0ac3f3d1aaed0ea08c22e53	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
a75829be0a4ec08a9982d539f796cfd6	Bacteria	Firmicutes	Clostridia	Clostridiales		
a77a0e649fd80e94deb0c7bd068fb2ee	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	RF16	
a79d68b5d4371d1684c25099193176d3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	
a8223c3e90a750b042a25f9a2a4519a7	Bacteria	Chloroflexi	Thermomicrobia	JG30-KF-CM45		
a8657ce7a92f2a1f23676fd8eeec1e40	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
a8b70a0ea8d9cf4e6e8c67519220fe29	Bacteria	Tenericutes	Mollicutes	RF39		
a966717f3404d717f79d4bb77b0f90df	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
a98e674d89703b522ac6e8e2e2aab9c1	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas
a9a8fa763f959d5e7b8f9398012db57f	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
a9aff5e9bb2e5d4d417a1351cff243ba	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
a9c49914fe8f70dc85e7e2ed02471c0c	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Tepidimonas
aa1f7e53f238650ae67bccc0a3ec66a4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Paraprevotellaceae]	[Prevotella]
aa6d9899657a377bae23f88baf447adf	Bacteria	Firmicutes	Clostridia	Clostridiales		
aafddb3663739abe01e0c8541f9d0bcf	Bacteria	Cyanobacteria	Chloroplast	Streptophyta		
aba55fff0b4acb780dd54e2b953ea50b	Bacteria	[Thermi]	Deinococci	Thermales	Thermaceae	Meiothermus
abbdb9543fc56b9ea4f17bfb29c9ac68	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
abc148762adecfa81f11cac64af486ce	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
ac51eda234e951a3eb921ded727c5760	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
ac64a241647e254b9dba3083d5504dd2	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
ac6ad43c8d1981bc84fe59bc57e23d97	Bacteria	Tenericutes	Mollicutes	RF39		
ac9a8e52abc52fdfe5cb445d24f8f02d	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	5-7N15
