"","Theo2.1","Theo2.2","Theo2.3","M4R1","M4R2","M4R3","M4W1","M4W2","M4W3","ML4R1","ML4R2","ML4R3","ML4W1","ML4W2","ML4W3","MLVR1","MLVR2","MLVR3","MLVW1","MLVW2","MLVW3","MVR1","MVR2","MVR3","MVW1","MVW2","MVW3","P4R1","P4R2","P4R3","P4W1","P4W2","P4W3","PL4R1","PL4R2","PL4R3","PL4W1","PL4W2","PL4W3","PLVR1","PLVR2","PLVR3","PLVW1","PLVW2","PLVW3","PVR1","PVR2","PVR3","PVW1","PVW2","PVW3"
"MLVW3",0.152243332228888,0.154381379350143,0.151597541938503,0.248365157286032,0.279561890739564,0.289176616882851,0.21642811140278,0.208410461916568,0.226146131906271,0.253660761528758,0.233223827173538,0.181881157731799,0.224644777130585,0.201363219434674,0.212423681747385,0.16612256742626,0.105797066659582,0.104691624324504,0.0774100555836598,0.0916180404174268,0,0.153498152604757,0.169545528468864,0.124027679524431,0.071279856376532,0.103217041996987,0.0438631116431235,0.200706343240887,0.214247909467826,0.204580268141796,0.171488910447102,0.153970598207031,0.127935140492298,0.149130901340805,0.195096967911017,0.0990247189678864,0.156722795023491,0.169411674312355,0.108405145053757,0.120370402721051,0.0683893812083702,0.131683800836017,0.0863803257794289,0.0786848385342847,0.082668139668068,0.220318570265502,0.212750484853465,0.148657631507435,0.176574624235407,0.136090271595384,0.138835309312129
"MVR1",0.138154916490755,0.137775229193945,0.13612213752756,0.17414059192131,0.202190007238732,0.213460771994822,0.199122269042206,0.201794521466093,0.210053080903301,0.196649064196541,0.170333945265254,0.174137275483599,0.21034902014795,0.18621431286716,0.201084149570899,0.148299856321956,0.208546412287374,0.126468366433156,0.204692840119756,0.217162064915823,0.153498152604757,0,0.0917196743773735,0.0782466977808936,0.170689444394539,0.138865141687123,0.142648784989999,0.14329590270968,0.153585387124309,0.124136477143036,0.175204972368665,0.169501074325554,0.158703395120406,0.169934558792265,0.150158767353348,0.149703740532351,0.176099944489632,0.182346841037528,0.166194824921687,0.123366006162226,0.16130012310074,0.111154765892926,0.1741622923356,0.189441855561796,0.172528458261902,0.169241407745581,0.148226425848984,0.177018306326086,0.190615504196877,0.156283553789164,0.148869411612661
"MVR2",0.0881490670894416,0.0913724740699158,0.088633334130137,0.106516109951448,0.132837808788969,0.142714090859207,0.143827117309062,0.14031339798754,0.152179456079803,0.149404060659136,0.122401170261342,0.111532918910929,0.151436601244002,0.128331465907379,0.138767161968159,0.204832427760825,0.226734342967075,0.159242219448333,0.219303482828515,0.230522835203623,0.169545528468864,0.0917196743773735,0,0.0705889948158847,0.188026263359765,0.0789752451427791,0.150466059796461,0.0923722555739097,0.0814614296713062,0.061106089256509,0.111867887702668,0.106826446444903,0.103332155710632,0.107209466411031,0.0855814186371325,0.112170540265356,0.113102353669062,0.118762421080662,0.121516762281094,0.0940110564102633,0.167250368261707,0.0905004553943661,0.173466794086872,0.199630068812242,0.167520903863284,0.106395408370638,0.0824852787132105,0.113312139979602,0.126761168708776,0.0941479382382013,0.0886784493761549
"MVR3",0.137076338019679,0.138549120035505,0.136784516301326,0.16217425782997,0.187266219529961,0.199455738695632,0.210202838999008,0.199532402233193,0.217671596353531,0.216490932875707,0.190318867292056,0.161418710378154,0.217306011263171,0.188117505814208,0.197752307865374,0.150911121063595,0.174399645246102,0.104353294645838,0.17290215825614,0.182241111237487,0.124027679524431,0.0782466977808936,0.0705889948158847,0,0.137345967477183,0.120985296701802,0.1076942741004,0.155761709765785,0.141674711312111,0.121053548556483,0.160162244830919,0.152546579163637,0.138632003929329,0.148488465263279,0.148643289217386,0.127005454338169,0.157055274463362,0.161859171413357,0.143479670565491,0.0632899059713426,0.122768552827224,0.0455225676816948,0.138253619312331,0.153013066476218,0.136797395484126,0.167573251605379,0.144926920327139,0.154939364490086,0.173555595980359,0.137988580637003,0.136181534916067
"MVW1",0.183279652873215,0.185666588191052,0.182695027955943,0.279537235398397,0.311038880874791,0.321214899568787,0.246251742226999,0.23724807008616,0.255094694855257,0.280560045096188,0.260602891646213,0.209260245693329,0.253552558713505,0.226326051020116,0.239891511044888,0.151414090123197,0.0607860340326858,0.0917605190763956,0.0468215430172331,0.0531404424220403,0.071279856376532,0.170689444394539,0.188026263359765,0.137345967477183,0,0.125250161631324,0.0700603272199959,0.219727274918297,0.244120498885148,0.220064386621307,0.197188277630036,0.18613737063614,0.157351543111178,0.176549103649059,0.235085319451244,0.129901833889066,0.185599942263198,0.195198904442675,0.139222571032839,0.138526472259283,0.0508181947611594,0.14290090785864,0.0793329602579819,0.0514144104754183,0.0770988725623348,0.249945808684273,0.242912545696951,0.180562546493178,0.210344548806715,0.164612510411776,0.164713971009772
"MVW2",0.0620012455662905,0.0680831724431258,0.062292304028805,0.156453134799008,0.188810210861721,0.198178661522672,0.123134199657802,0.114086978499707,0.132332725877238,0.160315676216775,0.140345514169913,0.0889972165869472,0.130569682610015,0.102943684973431,0.117789407363542,0.213142047555683,0.178470263210967,0.155458919457156,0.153203136611201,0.166679532637633,0.103217041996987,0.138865141687123,0.0789752451427791,0.120985296701802,0.125250161631324,0,0.0793027748169769,0.106781263277806,0.123573517966224,0.107349226618617,0.0747060826079354,0.0621840731221,0.0523079006999392,0.0554309698480146,0.112058843283687,0.0516352993627624,0.064069500742084,0.0729457875133857,0.0566077743416192,0.118414806368385,0.111797434986197,0.12544919632582,0.104168427191922,0.132107542729187,0.0995874003164881,0.129962470013557,0.121931710988211,0.0588234762509552,0.0867696928316468,0.0430723312388324,0.0423200493638733
"MVW3",0.129741681714408,0.132042899818922,0.129115737556567,0.23268800145113,0.265507666447321,0.274136248018964,0.196176676494739,0.188144384142817,0.206507582682357,0.237659838431141,0.21700007284944,0.166119346494315,0.204174637561038,0.181014823485546,0.193958590966952,0.176984270260403,0.118379879146882,0.118902029673369,0.0937400689085946,0.101198351105967,0.0438631116431235,0.142648784989999,0.150466059796461,0.1076942741004,0.0700603272199959,0.0793027748169769,0,0.182653030887717,0.19778531661956,0.185020415188825,0.143581473285862,0.126074276939269,0.100016267721255,0.121138510587053,0.17824507245607,0.0709063556135807,0.128740856852661,0.141696513232624,0.0796216268412722,0.0915678132284585,0.0407908564781223,0.10434697674293,0.0471151324359615,0.0626040598557236,0.045692156431169,0.202911084438485,0.193460284283029,0.121745870181663,0.148120406378182,0.10814683157078,0.107222024812038
"P4R1",0.0898615262024795,0.0949830169077536,0.0936462760852372,0.0788324504134285,0.111967479005282,0.111553150063654,0.0734343637887073,0.0785318778009966,0.0897604561830586,0.0730025609772298,0.0589651740880838,0.0616009174103574,0.0899473157497125,0.0686201554286464,0.0789816629396335,0.262215842688903,0.258389341331882,0.223717470946997,0.249385554974816,0.261552031096671,0.200706343240887,0.14329590270968,0.0923722555739097,0.155761709765785,0.219727274918297,0.106781263277806,0.182653030887717,0,0.0521269364008652,0.0535505440555598,0.0669231261093898,0.077689285896011,0.110619869408795,0.0889382253844029,0.0450639861949911,0.136745586620196,0.087643308469321,0.0744930571181548,0.136179125081296,0.173189883866399,0.200259428916991,0.170956712393732,0.205770610291791,0.231701595197146,0.199799435740254,0.0508179239393528,0.0513973352547864,0.0869086093813184,0.0667112075759304,0.0941914315144579,0.0932422572322579
"P4R2",0.100706022018972,0.106425441148422,0.106672358771809,0.0665888476538035,0.0843588063723363,0.0882036830221917,0.0794070304086157,0.0808881581880888,0.0935220447927584,0.0980918456872165,0.0756747057966894,0.0673951263178749,0.0919932417805224,0.0779363984931659,0.0824704689599417,0.265349136032901,0.282803145935232,0.215894916065658,0.265900911152149,0.284864469447775,0.214247909467826,0.153585387124309,0.0814614296713062,0.141674711312111,0.244120498885148,0.123573517966224,0.19778531661956,0.0521269364008652,0,0.0535507490347463,0.0713154162276932,0.0837284868475653,0.117920285517702,0.0921632601121724,0.0444672384261379,0.148564080673372,0.0912762919802963,0.0767685105831995,0.13587782315968,0.153067738852398,0.21988349107674,0.154332263237021,0.217275336048621,0.2496894456947,0.211756555158933,0.0320662866166015,0.0333736407234624,0.084024662761784,0.0666793271521788,0.102643158247884,0.109424761393157
"P4R3",0.0994528907915581,0.104616666769402,0.103269636598167,0.0717206751668106,0.0975462400934412,0.107187603984478,0.117418233030766,0.124381204073806,0.135955035476321,0.113173675011955,0.100429615399853,0.102083030116785,0.133566854608109,0.114789510432577,0.125661574355715,0.245359828125553,0.261546440560948,0.194159562460665,0.254536638680428,0.264333485228841,0.204580268141796,0.124136477143036,0.061106089256509,0.121053548556483,0.220064386621307,0.107349226618617,0.185020415188825,0.0535505440555598,0.0535507490347463,0,0.0977963019370157,0.102454821708597,0.125916097130805,0.112726917030538,0.0586021202241823,0.142596935520247,0.115845928000091,0.107118573921622,0.148506569212477,0.142971796636788,0.2043144037365,0.139096750012432,0.209911894362354,0.235965759118801,0.205516023042567,0.0750563877138797,0.0478952779598254,0.109995324241735,0.11077953670317,0.108529755117289,0.106136905223562
"P4W1",0.0498445830370277,0.0593795972762211,0.0577738506287603,0.100228094617236,0.142604534811592,0.143284713115383,0.0619726525994745,0.0540707972413074,0.0716350452720964,0.100799448844605,0.0799798432521784,0.0378423124084231,0.070769427736497,0.0468416054181073,0.0587985463385957,0.259259127758856,0.244608566637652,0.223532752190035,0.22271269901946,0.235472360764727,0.171488910447102,0.175204972368665,0.111867887702668,0.160162244830919,0.197188277630036,0.0747060826079354,0.143581473285862,0.0669231261093898,0.0713154162276932,0.0977963019370157,0,0.0214125226695374,0.0604798349463783,0.0311864949332435,0.0634000971598327,0.0898217609011161,0.0265400544565439,0.0176343158531178,0.0810049639462494,0.156784000699919,0.170550683528227,0.159573906313886,0.159598340522209,0.192360536134327,0.154834220035302,0.066903307257758,0.0750519760964255,0.0312773413286116,0.0208688755619983,0.044255850929561,0.0549062679521427
